"info_id","emp_id","number_consumers","mode","dining_table_id","dining_table_name","expenditure","dishes_count","accounts_payable","use_start_time","check_closed","lock_time","cashier_id","pc_id","order_number","org_id","print_doc_bill_num","lock_table_info","order_status","phone","name"
417,1442,4,NA,1501,1022,165,5,165,"2016/8/1 11:05:36",NA,"2016/8/1 11:11:46",NA,NA,NA,330,NA,NA,1,18688880641,"√Á”Ó‚˘"
301,1095,3,NA,1430,1031,321,6,321,"2016/8/1 11:15:57",NA,"2016/8/1 11:31:55",NA,NA,NA,328,NA,NA,1,18688880174,"’‘”±"
413,1147,6,NA,1488,1009,854,15,854,"2016/8/1 12:42:52",NA,"2016/8/1 12:54:37",NA,NA,NA,330,NA,NA,1,18688880276,"–Ï“„∑≤"
415,1166,4,NA,1502,1023,466,10,466,"2016/8/1 12:51:38",NA,"2016/8/1 13:08:20",NA,NA,NA,330,NA,NA,1,18688880231,"’≈¥Û≈Ù"
392,1094,10,NA,1499,1020,704,24,704,"2016/8/1 12:58:44",NA,"2016/8/1 13:07:16",NA,NA,NA,330,NA,NA,1,18688880173,"ÀÔŒıø≠"
381,1243,4,NA,1487,1008,239,7,239,"2016/8/1 13:15:42",NA,"2016/8/1 13:23:42",NA,NA,NA,330,NA,NA,1,18688880441,"…Úœ˛ˆ©"
429,1452,4,NA,1501,1022,699,15,699,"2016/8/1 13:17:37",NA,"2016/8/1 13:34:18",NA,NA,NA,330,NA,NA,1,18688880651,"√Á‘Û¿§"
433,1109,8,NA,1490,1011,511,14,511,"2016/8/1 13:38:27",NA,"2016/8/1 13:50:16",NA,NA,NA,330,NA,NA,1,18688880212,"¿Ó¥Ô√˜"
569,1143,6,NA,1488,1009,326,9,326,"2016/8/1 17:06:20",NA,"2016/8/1 17:18:20",NA,NA,NA,330,NA,NA,1,18688880272,"≥¬”–∫∆"
655,1268,8,NA,1492,1013,263,10,263,"2016/8/1 17:32:27",NA,"2016/8/1 17:44:27",NA,NA,NA,330,NA,NA,1,18688880466,"…Úµ§µ§"
577,1150,7,NA,1492,1013,380,7,380,"2016/8/1 17:37:07",NA,"2016/8/1 17:50:02",NA,NA,NA,330,NA,NA,1,18688880279,"∫˙Ïœ"
622,1220,4,NA,1483,1004,164,7,164,"2016/8/1 17:40:18",NA,"2016/8/1 17:47:08",NA,NA,NA,330,NA,NA,1,18688880419,"–Ïø•Ã´"
651,1593,3,NA,1485,1006,137,5,137,"2016/8/1 18:12:20",NA,"2016/8/1 18:20:12",NA,NA,NA,330,NA,NA,1,18688880792,"∏ﬂŸ“Õ©"
694,1122,8,NA,1492,1013,819,10,819,"2016/8/1 18:26:27",NA,"2016/8/1 18:37:27",NA,NA,NA,330,NA,NA,1,18688880316,"÷ÏÓ⁄"
462,1187,7,NA,1490,1011,431,13,431,"2016/8/1 18:45:27",NA,"2016/8/1 18:49:42",NA,NA,NA,330,NA,NA,1,18688880366,"ÀÔ–¬‰Ï"
458,1455,2,NA,1480,1001,700,14,700,"2016/8/1 19:27:29",NA,"2016/8/1 19:31:41",NA,NA,NA,330,NA,NA,1,18688880654,"≈£≥§Ω"
467,1213,10,NA,1495,1016,615,15,615,"2016/8/1 19:40:00",NA,"",NA,NA,NA,330,NA,NA,0,18688880412,"’‘”¢"
562,1552,8,NA,1508,1029,366,7,366,"2016/8/1 19:44:56",NA,"2016/8/1 19:57:51",NA,NA,NA,330,NA,NA,1,18688880751,"ÕıºŒúB"
